lat,lon,2017/08/16,
35.125,261.29166,50.591686, 
35.125,261.33334,50.178913, 
35.125,261.375,49.584385, 
35.125,261.41666,49.072815, 
35.125,261.45834,49.345673, 
35.125,261.5,50.042976, 
35.125,261.54166,50.29631, 
35.125,261.58334,50.535194, 
35.125,261.625,51.64747, 
35.125,261.66666,53.054657, 
35.125,261.70834,54.50981, 
35.125,261.75,55.204113, 
35.125,261.79166,54.975376, 
35.125,261.83334,54.879765, 
35.125,261.875,54.369915, 
35.125,261.91666,53.81678, 
35.125,261.95834,53.358242, 
35.125,262.0,52.653435, 
35.125,262.04166,51.628433, 
35.125,262.08334,50.531677, 
35.125,262.125,49.299538, 
35.125,262.16666,50.08506, 
35.125,262.20834,52.403084, 
35.125,262.25,54.72806, 
35.125,262.29166,56.145935, 
35.125,262.33334,56.375748, 
35.125,262.375,56.80365, 
35.125,262.41666,57.549984, 
35.125,262.45834,58.610535, 
35.125,262.5,59.562737, 
35.125,262.54166,60.168304, 
35.125,262.58334,60.730366, 
35.125,262.625,61.20707, 
35.125,262.66666,61.293827, 
35.125,262.70834,60.999554, 
35.125,262.75,60.209656, 
35.125,262.79166,59.01663, 
35.125,262.83334,57.77001, 
35.125,262.875,56.732, 
35.125,262.91666,56.293674, 
35.125,262.95834,56.526062, 
35.125,263.0,57.61099, 
35.125,263.04166,58.737545, 
35.125,263.08334,59.764393, 
35.125,263.125,60.71365, 
35.125,263.16666,61.3495, 
35.125,263.20834,62.05045, 
35.125,263.25,62.593613, 
35.125,263.29166,63.22899, 
35.125,263.33334,63.956257, 
35.125,263.375,64.79425, 
35.125,263.41666,65.669235, 
35.125,263.45834,66.36054, 
35.125,263.5,66.07202, 
35.125,263.54166,65.289345, 
35.125,263.58334,64.77478, 
35.125,263.625,64.39682, 
35.125,263.66666,64.11059, 
35.125,263.70834,63.916977, 
35.125,263.75,64.21517, 
35.125,263.79166,64.43769, 
35.125,263.83334,64.94076, 
35.125,263.875,65.28561, 
35.125,263.91666,65.55917, 
35.125,263.95834,66.08418, 
35.125,264.0,66.748665, 
35.125,264.04166,67.10207, 
35.125,264.08334,67.25977, 
35.125,264.125,67.516136, 
35.125,264.16666,67.87796, 
35.125,264.20834,68.21682, 
35.125,264.25,68.41446, 
35.125,264.29166,68.97591, 
35.125,264.33334,69.56651, 
35.125,264.375,70.0416, 
35.125,264.41666,70.448524, 
35.125,264.45834,70.723076, 
35.125,264.5,70.74477, 
35.125,264.54166,70.54769, 
35.125,264.58334,70.35442, 
35.125,264.625,70.139984, 
35.125,264.66666,69.96805, 
35.125,264.70834,70.118286, 
35.125,264.75,70.2876, 
35.125,264.79166,70.809265, 
35.125,264.83334,71.183014, 
35.125,264.875,71.56815, 
35.125,264.91666,71.60128, 
35.125,264.95834,71.837456, 
35.125,265.0,71.99061, 
35.166668,260.0,52.44192, 
35.166668,260.04166,52.59569, 
35.166668,260.08334,52.625, 
35.166668,260.125,52.458748, 
35.166668,260.16666,52.4199, 
35.166668,260.20834,52.089546, 
35.166668,260.25,51.608845, 
35.166668,260.29166,51.133244, 
35.166668,260.33334,50.581512, 
35.166668,260.375,49.791035, 
35.166668,260.41666,49.517292, 
